NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
RICHARDS_DEV_2021	3968	2416		
RICHARDS_INJ_2021	4399	3198		
WANG_MES_2017	50	46		
WANG_PN_2017	50	38		
WANG_CL_2017	50	46		
SCHMITT_TNF_2020	350	288		
SCHMITT_HMG_2020	344	274		
NEFTEL_MES2_2019	50	47		
NEFTEL_MES1_2019	50	42		
NEFTEL_AC_2019	39	36		
NEFTEL_OPC_2019	50	45		
NEFTEL_NPC1_2019	50	46		
NEFTEL_NPC2_2019	50	44		
NEFTEL_G1.S_2019	29	27		
NEFTEL_G2.M_2019	45	44		
VERHAAK_MES_2010	216	166		
VERHAAK_PN_2010	178	138		
VERHAAK_CL_2010	162	132		
VERHAAK_NEU_2010	129	106		
PHILLIPS_MES_2006	129	109		
PHILLIPS_PN_2006	236	199		
PHILLIPS_PROLIFERATIVE_2006	180	155		
FOSL1_REGULON	219	203		
VDR_REGULON	154	133		
SP100_REGULON	130	107		
ELF4_REGULON	132	120		
BNC2_REGULON	109	98		
OLIG2_REGULON	144	138		
SOX11_REGULON	127	115		
ASCL1_REGULON	98	93		
SALL2_REGULON	91	88		
POU3F3_REGULON	95	89		
